Time Step,Train MAE,Train MSE,Train RMSE,Train R2,Validation MAE,Validation MSE,Validation RMSE,Validation R2,Test MAE,Test MSE,Test RMSE,Test R2
0,0.02539558603904179,0.0022214519569021774,0.04713228147355247,0.9547005094287672,0.02547348066769758,0.0022182117352166487,0.047097895231280225,0.9536012692452581,0.02526823310742145,0.0022237081576360184,0.047156210170411474,0.9544306228639852
1,0.03199231119836074,0.0036822359584438723,0.06068143009557267,0.9249124373082592,0.03205577842356012,0.0036779856604509495,0.060646398577746966,0.9230645165441356,0.031508277827701894,0.0036176512776157875,0.06014691411548715,0.9258674854602112
2,0.036175317425069055,0.004840264375211936,0.06957200856100057,0.9012981083178823,0.03623874526615223,0.004812966384067014,0.06937554600914514,0.899318271609514,0.03590009629283204,0.004745068821397434,0.06888445994124824,0.9027673229077805
3,0.03932633960960595,0.005701315708805131,0.07550705734436439,0.8837396881835818,0.03927460353249631,0.005657049037938962,0.07521335677882594,0.8816554187532603,0.03877397889450415,0.005475718796397433,0.07399809995126519,0.8877976825111231
4,0.04107506732512044,0.006302707117489262,0.0793895907376355,0.8714762114234104,0.04095489255947252,0.006237864622706452,0.07898015334694186,0.8695020278333838,0.04036560782670999,0.006004026915702942,0.0774856561932784,0.8769733593141837
5,0.04194683605697384,0.00657754987193715,0.08110209536095322,0.86587160426098,0.04181176914500116,0.006516555411402903,0.08072518449283905,0.8636718633795692,0.041423651148756874,0.006290582732740793,0.07931319393859254,0.871101758915447
6,0.042015520939464424,0.006558392509503826,0.08098390278014407,0.8662618796840911,0.041767840045807476,0.0064742486278251245,0.08046271576217848,0.864558968458409,0.041508346285474694,0.006234166518911363,0.07895673827426866,0.8722577648119143
7,0.04123522943519517,0.006349318168831795,0.0796826089484512,0.8705245191170123,0.0410720542118214,0.006279975573283012,0.07924629690580508,0.8686273280304558,0.04087776629422942,0.006067129978174346,0.07789178376551885,0.8756804550796677
8,0.04185920212555049,0.006537730759442042,0.08085623513027329,0.8666812943159813,0.04167197684418686,0.006454894429904524,0.08034235763222614,0.8649736616209318,0.04146039625074233,0.006232458477055038,0.07894592121861038,0.8722927637301915
9,0.04138870688973363,0.006385543758557093,0.07990959741205741,0.8697836213422862,0.041174912261446435,0.006298104585386498,0.0793605984439791,0.8682593243135356,0.04093105868516561,0.0060726599110129224,0.07792727321684573,0.8755671430628814
10,0.04104228221614968,0.0062853625556668555,0.07928027847874183,0.8718258638850038,0.04074359398593046,0.006193091086699943,0.07869619486798547,0.8704614205796742,0.04050545665370933,0.005950401536597041,0.07713884583397032,0.8780722987995738
11,0.040217735981181335,0.006094938155368747,0.07807008489407928,0.8757091370049834,0.04006847410269443,0.0060175744407089575,0.07757302650218668,0.8741365835814712,0.03981490674151006,0.005789092910677196,0.07608608881180051,0.8813776202675859
12,0.04009850023490336,0.006025683511362508,0.07762527624016875,0.8771222311310336,0.03994670804766398,0.0059481971107863485,0.07712455582229533,0.8755892872155183,0.03962612953897899,0.005693620443704319,0.0754560828807348,0.8833339148729737
13,0.03986415424312258,0.0059577604853102645,0.07718653046555639,0.8785085313929225,0.03967699252466591,0.0058827676026561295,0.07669920209921437,0.876957920956087,0.03934958089594246,0.005604557760516237,0.07486359436011764,0.8851588687281173
14,0.039510943643091476,0.005878136381766165,0.07666900535265972,0.8801332852456707,0.039332164074716146,0.005802850027173087,0.07617644010567234,0.8786294513145433,0.03889851951555714,0.005504726754686007,0.07419384580061884,0.8872044716811989
15,0.038788143841277656,0.005661739122436597,0.07524452885384157,0.8845467380993182,0.038624491601903045,0.00557943895643703,0.07469564215158091,0.8833022455640356,0.03820040161513672,0.005270838007488213,0.07260053723966657,0.8919965145039067
16,0.038732762728099564,0.005665458347904759,0.07526923905490715,0.8844711981227852,0.038463760295601654,0.005566824302698679,0.07461115400996475,0.8835660896128273,0.03804760237182742,0.0052413636497981525,0.07239726272310405,0.8925972949938239
17,0.037930736135599906,0.005400523163319969,0.07348825187279916,0.8898737415466126,0.03768128376408902,0.005307037120303196,0.07284941400109678,0.8889997149385105,0.03733016303578228,0.00496352497595496,0.07045228864951769,0.8982856693005158
18,0.038108766629034424,0.005488177561837442,0.07408223512987065,0.8880863126894837,0.03792338469677974,0.0054147978797147115,0.07358531021688168,0.8867458254815553,0.03748979224491443,0.005065146345929661,0.07116984154773467,0.8961981516906923
19,0.03848318699020333,0.005590959031414372,0.07477271582211237,0.8859904159882668,0.03815668358608882,0.005484875083069272,0.07405994249977023,0.8852801131881723,0.03769324762243616,0.005108486761428389,0.07147367880155875,0.8953054713076404
20,0.037239155117581614,0.005247910906904431,0.07244246618458286,0.8929857764893236,0.0369568533762323,0.005142685908270521,0.07171252267401086,0.8924372316165934,0.03652878465078484,0.004770762319039023,0.069070705216025,0.9022221657683096
21,0.03657831519947195,0.005251591569801094,0.07246786577374205,0.8929107212361233,0.0363750148844524,0.005154578275110298,0.0717953917400713,0.8921880956433238,0.03601049345665683,0.004804607861197331,0.06931527869955752,0.9015238770516348
22,0.037839423376105207,0.005468019114249278,0.07394605543400729,0.8884973792365529,0.03756716780199849,0.005362893646565139,0.07323178030449033,0.8878284324596001,0.03729125582760024,0.005067144262584424,0.07118387642285592,0.8961412770436252
23,0.03931785771287924,0.00578732172128412,0.07607444854406846,0.8819862320080791,0.03887042223153457,0.0056471593334672015,0.07514758368349046,0.8818777436859014,0.03884580421221009,0.005438856669931258,0.07374860452870452,0.8885254781031986
