Time Step,Train MAE,Train MSE,Train RMSE,Train R2,Validation MAE,Validation MSE,Validation RMSE,Validation R2,Test MAE,Test MSE,Test RMSE,Test R2
0,0.04472304848157299,0.0054607522714158144,0.07389690298933924,0.8881437660758829,0.0431865236499641,0.005032350642267587,0.07093906287982374,0.8861689481517705,0.043553440858511774,0.005097368899502731,0.07139586052078041,0.9014297038603867
1,0.05306549092288372,0.007853536200620934,0.08862017942106039,0.8391276244729766,0.051629130959583325,0.0073803237319785666,0.08590881056084158,0.833071460461439,0.05124762943008299,0.007279837705246368,0.08532196496357997,0.8592262454215428
2,0.056289087240684696,0.009116107280276573,0.09547830790434324,0.8132638104011685,0.05452100907083976,0.00852128129419771,0.0923107864455596,0.8072708565904383,0.053773259164729234,0.00830243110126027,0.09111767721611581,0.8394518606629007
3,0.06007201349429923,0.010351821221530536,0.10174390016866139,0.7879511557303267,0.05858969329497042,0.009737324233522356,0.09867788117669712,0.7797673784217926,0.05759400696151776,0.009458170698521227,0.09725312693441393,0.8171025444091082
4,0.06653335752562918,0.012448652229960807,0.11157352835668866,0.7449992362128534,0.06573161545211596,0.011965915190072266,0.10938882570935783,0.7293625221167326,0.06358818613617107,0.011359290794645935,0.1065799737035337,0.780337341369838
5,0.06435968936056696,0.011763540750778994,0.10845985778516858,0.7590332012753711,0.06347890548920146,0.011200091731887069,0.10583048583412565,0.7466834312101751,0.0614805396560406,0.010671920604444439,0.10330498828442138,0.7936248401151349
6,0.06326477103047594,0.011383568376490004,0.10669380664541876,0.7668166338809114,0.0623574501165826,0.010756811689246729,0.10371505044711075,0.7567092579714831,0.0599411786884988,0.010233342636014489,0.10115998535001124,0.8020998838218284
7,0.06348031372674835,0.011648456322181016,0.10792801453830704,0.7613906144836751,0.0628186816838863,0.011078431079765359,0.10525412618878824,0.7494350746511357,0.06003146299396597,0.01046978132328912,0.10232194937201461,0.79752035712382
8,0.05965227404063918,0.010270875698521495,0.10134532894278599,0.7896092605444991,0.05860949342949877,0.009536024705187673,0.09765257142127734,0.7843202434373151,0.05594426106399842,0.009144495312187053,0.09562685455554341,0.8231450551726072
9,0.06240677392694746,0.011262384635483836,0.10612438285089736,0.7692991326640959,0.06192401797022966,0.010676856359286663,0.10332887476057534,0.7585164513834199,0.05868913339879508,0.010072304105679226,0.10036086939479563,0.8051974116781151
10,0.061025179495071635,0.010808671628622693,0.10396476147533208,0.7785941130422452,0.06017017214238809,0.010126377509738419,0.1006299036556153,0.7709576277825103,0.05715067084092053,0.00963475791760235,0.09815680270670164,0.8136632503365275
11,0.057859554665297984,0.00982879499912839,0.09914027939807507,0.7986677095155654,0.05690299061278536,0.009130309065606518,0.09555265075133457,0.7934733977697808,0.05417447613212408,0.008733613570445596,0.09345380447282815,0.8310996920133069
12,0.05942663312584906,0.010344116811780622,0.10170603134416671,0.7881120574839018,0.05879820129161539,0.009712259153051557,0.09855079478650366,0.7803033081867407,0.05545927337182713,0.009142254918981652,0.09561513959087051,0.8232055316159249
13,0.05748560210453962,0.009730879851175373,0.09864522214063574,0.8006736796694236,0.056538213000426815,0.008999979179895612,0.09486822007340294,0.7964150608677405,0.05340731944153824,0.008568839542554316,0.09256802656724575,0.8343012020285921
14,0.05848443905305075,0.009975801156659934,0.09987893249659777,0.7956708445692796,0.05786245710640287,0.009412208441503447,0.09701653694862256,0.7870656038184465,0.054253583109698675,0.008766790888101575,0.09363114272559946,0.8304809398204273
15,0.057823372907489776,0.009856753749853037,0.09928118527622964,0.7981521319112286,0.05727416823293457,0.009307191967809766,0.09647378901965946,0.7893550902581368,0.0536162216181721,0.008660040936125922,0.09305934093967097,0.8325537029174978
16,0.057949486776980294,0.009934710310560686,0.0996730169632719,0.7966317707411307,0.057185762990355,0.009265071883417622,0.09625524340739897,0.7901387471114376,0.05393223320614994,0.008763256020547307,0.09361226426354245,0.8305632325497374
17,0.05275050998123397,0.008579679737814167,0.09262656064981668,0.8244580907928655,0.051366803312708854,0.007774415933473051,0.08817264844311444,0.8237044874906199,0.04870162825676154,0.007456221342882164,0.08634941425905658,0.8558349699403723
18,0.05567806619015846,0.009397051322406775,0.09693838931200979,0.807845354010094,0.05481383980778795,0.00865234286954891,0.09301797068066424,0.8035546521543551,0.05187723315092824,0.008272704960731559,0.09095441144184024,0.8400483697447091
19,0.05333460039040064,0.008697407430299453,0.09325989186300536,0.8222557461701933,0.05180892556925201,0.007755222310236235,0.08806374004229116,0.823734956029667,0.0493812046548596,0.007575775103687731,0.08703892866808352,0.853523414163299
20,0.053791195785498076,0.008811066225251815,0.09386727984368043,0.8200275480907581,0.05278463670878587,0.007986566749740883,0.08936759339794757,0.8183323086027448,0.050116831530445466,0.007702585175974837,0.08776437304495963,0.8510715585862666
21,0.055567821744490264,0.009424101780418326,0.09707781301831189,0.8075849630760449,0.05430817080165073,0.008458395085021603,0.0919695334609326,0.8075040930095787,0.051924698349183916,0.008256883255416814,0.09086739379676746,0.8403542802746415
22,0.058887546463290856,0.010222033975817332,0.10110407497137458,0.791346906447407,0.0579344610751161,0.009320573594355348,0.09654311779901946,0.7878368557783213,0.0550513347578225,0.00903417246719873,0.09504826388313849,0.825325498613199
23,0.058963823050135,0.010390380158001393,0.10193321420421016,0.78793176361003,0.05790942972851339,0.00951428897618869,0.09754121680699236,0.7834212476327709,0.05550935226117963,0.009229342732813822,0.09606946826548912,0.8215519079544392
