Time Step,Train MAE,Train MSE,Train RMSE,Train R2,Validation MAE,Validation MSE,Validation RMSE,Validation R2,Test MAE,Test MSE,Test RMSE,Test R2
0,0.00944519548323939,0.0002683360226245987,0.01638096525314057,0.9946193667125804,0.008621183715782521,0.00023839835103836492,0.01544015385410278,0.9944589791181615,0.01046095044369736,0.0003213910996343432,0.01792738407114499,0.994696351837544
1,0.011861720017184966,0.0004238488383515215,0.02058758942546508,0.9915010452326112,0.011623884835517103,0.0004118873872913224,0.020295008925628053,0.9904266344110936,0.014295511558984559,0.0005725723097406865,0.02392848323109274,0.9905513186834223
2,0.013687446330415024,0.0005538869377460468,0.0235348026918869,0.9888935397137655,0.015196881214701573,0.0006656720704322547,0.025800621512518933,0.9845280002239014,0.018116931007691458,0.0008789581887613374,0.029647229023322525,0.9854952891103597
3,0.015916808396708882,0.0007613344045357426,0.027592288860037374,0.9847338331986286,0.01631883698479837,0.0008232903140131376,0.028693035984592805,0.980864530570129,0.01935631408432156,0.0010985206730828717,0.033143938708048444,0.981872033308189
4,0.018229214339563985,0.000992544267842247,0.0315046705718731,0.9800976466315553,0.018898716598210293,0.0010658016305988033,0.03264661744497894,0.9752279187869752,0.022366734099190346,0.0014135594781611558,0.03759733339162707,0.9766732117429472
5,0.02157461382024889,0.0014058458073698628,0.03749461037762444,0.9718101842443279,0.02306960112372498,0.001595773093083443,0.039947128721391764,0.9629099641767173,0.02775203793392409,0.002166423482060121,0.046544854517552435,0.964249327586227
6,0.023521472941179972,0.0016651823447105855,0.0408066458399926,0.966610005698413,0.026791667026950395,0.00204835264106644,0.04525872999838197,0.9523908047045274,0.0313262973377405,0.0026973905582056636,0.051936408791960806,0.9554872225966118
7,0.026166786438906197,0.0020986994414560704,0.045811564494743794,0.9579171838966734,0.02858897170867618,0.00240426126957021,0.049033266968153466,0.9441185360228234,0.03468071192403038,0.0033610052457062984,0.05797417740430905,0.9445361451649533
8,0.02783541635646665,0.002387742201547943,0.04886452907322389,0.9521213404906709,0.0313361391040292,0.002859125493068647,0.053470791027145345,0.9335462745795077,0.03752292477114035,0.0038779003605456264,0.06227278988888828,0.9360062579679553
9,0.030320983936287526,0.0028526713006679044,0.05341040442336965,0.9427986497838128,0.03451936763707044,0.0034486397102995794,0.058725119925799894,0.9198443870553981,0.041081387439165534,0.004652807821872858,0.06821149332680569,0.9232186090939899
10,0.03202714710967195,0.0031820359002194005,0.0564095373161259,0.936194278714721,0.03770939662562618,0.004055975020141968,0.06368653719697726,0.9057282896625836,0.04500337399203761,0.005499291342976966,0.07415720695237224,0.909249800448197
11,0.03366580063181195,0.003519998744022137,0.059329577312013076,0.9294174969018664,0.04038917753831071,0.004546196768829655,0.06742549049750884,0.8943342247425857,0.047648422214613684,0.0060055231981400205,0.07749531081388099,0.9008958800954963
12,0.03469731224927618,0.0038194897276360657,0.0618020204171034,0.9234121472367017,0.041904972351806985,0.0049986890600154195,0.07070140776544283,0.8838170933517999,0.04931098877842844,0.00660866434449427,0.08129369191083814,0.8909427468687119
13,0.036020325309904955,0.004113274584046891,0.06413481569355985,0.91752121600469,0.04497353860169265,0.005614429327779447,0.07492949571283292,0.8695056422512697,0.05273927621866401,0.00736394140444782,0.08581341039981932,0.8784790420687804
14,0.03687774336058465,0.004384247758802606,0.06621365235963506,0.9120877012969968,0.044748168912633404,0.005696415752947158,0.0754746033639605,0.8676000583937191,0.052475784063787986,0.007492682795767229,0.08656028417101708,0.876354530704651
15,0.03735864221070596,0.0045223360992651205,0.0672483167020939,0.9093187739685243,0.04576200082750488,0.005958656906367098,0.07719233709615934,0.8615048724196968,0.05384225057039012,0.007869214754682925,0.08870859459309974,0.8701409391201882
16,0.038549037887724215,0.004789485957483076,0.06920611213963024,0.9039619238482346,0.04883555328981846,0.006582017744123417,0.08112963542456861,0.8470162988853864,0.056598683230171844,0.008481666791849906,0.09209596512252806,0.8600341560598959
17,0.03901447726254844,0.0049469741904544125,0.0703347296181226,0.900803992695419,0.0487712592673791,0.00662387141965219,0.08138716987125298,0.8460435074957918,0.05643545227963612,0.008545368076144467,0.09244116007571772,0.8589829471129794
18,0.03963126503497065,0.005136476184657156,0.07166921364614764,0.8970041262563663,0.04989503068536144,0.006911786524243502,0.08313715489625263,0.8393515902115357,0.057627602277404086,0.008792542873655556,0.09376856015560629,0.8549040284306743
19,0.040860505844830704,0.0054511405505195416,0.07383183967990735,0.8906945221361738,0.05426207336583359,0.007770398822825981,0.08814986569942113,0.8193951433640703,0.06219553447318528,0.009811494664662116,0.09905298917580486,0.8380891203633641
20,0.040629778542245226,0.005439911449442596,0.07375575536487032,0.8909196864385472,0.049721380932720126,0.007010840720206401,0.08373076328450853,0.8370493056996372,0.056697228510821485,0.008758198353052207,0.09358524644970599,0.8554707872917492
21,0.04062625644157091,0.005468447493371173,0.07394895194234448,0.890347485834096,0.05183546473092076,0.007412140048039719,0.08609378634976927,0.8277220357326791,0.05909748935146348,0.009340417639971869,0.09664583612330056,0.8458629099898229
22,0.040951764378347244,0.005589825385571829,0.07476513482614627,0.8879136339849022,0.05158488250786225,0.007393142926137073,0.08598338750094156,0.8281635796683191,0.058640876375007846,0.00920984390681944,0.09596793165854643,0.8480176589566948
23,0.04089295692068749,0.005573371165438326,0.07465501433553091,0.8882435716150001,0.05146279953736807,0.0073487950584781485,0.08572511334771246,0.8291943427556809,0.05843344388153782,0.009122124536015718,0.09550981382044317,0.8494652182708895
24,0.04157767262333281,0.0057219227414386726,0.07564339192182402,0.8852648370086076,0.050809636938161686,0.007175788345308258,0.08471002505788945,0.8332154816111687,0.05771883738048405,0.008970629739094687,0.09471340844407769,0.85196521003241
25,0.041699791071122976,0.0058071847931362814,0.07620488693736302,0.8835551747428696,0.05216512096625571,0.0074673427774864755,0.08641378812137838,0.8264389766175722,0.058898355015722596,0.009211550466588139,0.09597682254892656,0.8479894970300214
26,0.04156814369246058,0.005757392923197044,0.07587748627357817,0.884553594080438,0.05371724305221103,0.007778525694542976,0.08819595055637745,0.819206253123709,0.060321445314162024,0.00943486570584304,0.09713323687514505,0.844304312655998
27,0.041501429119732806,0.00575154042958906,0.07583891105223664,0.8846709474314637,0.05151210476663808,0.00724318797855633,0.0851069208616804,0.8316489338215849,0.05795653944406478,0.008858492060250649,0.09411956258000059,0.8538157242346387
