Time Step,Train MAE,Train MSE,Train RMSE,Train R2,Validation MAE,Validation MSE,Validation RMSE,Validation R2,Test MAE,Test MSE,Test RMSE,Test R2
0,0.028863484701406504,0.0022048885301179932,0.04695624058757252,0.96437752732616,0.024290658658720675,0.002047438293202664,0.045248627528386584,0.7978485224188846,0.026366462066352472,0.0019371396198616523,0.04401294832048465,0.9586650719133157
1,0.03142180311858671,0.0027165538039239153,0.05212056987336108,0.9561109950342401,0.026215495025202026,0.002228501671738377,0.04720700871415575,0.7799714368782166,0.02875427914384876,0.002370172734990671,0.0486844198382878,0.9494249515005084
2,0.03502276955513798,0.0034139504993496474,0.05842902103706383,0.9448437611644626,0.03128836183354366,0.0029427180223259137,0.05424682499765229,0.7094541025765223,0.031934304044444604,0.002927984801500729,0.05411085659551814,0.9375222511811959
3,0.0389041986035484,0.004232524936176537,0.06505785837373174,0.9316187635697727,0.029763343328573832,0.003280621129785749,0.05727670669465685,0.6760916258273904,0.03557480137203187,0.0037696701753275694,0.06139763981886901,0.9195621172998495
4,0.04070829552238454,0.004668022042962211,0.06832292472488434,0.9245828143260353,0.039226679107447995,0.004171583350390808,0.06458779567682124,0.5881234902492812,0.03765852109459957,0.004060812765257889,0.06372450678709007,0.9133492928750493
5,0.04499521140002031,0.005616397741679586,0.07494262966883125,0.9092607302611843,0.03777213943506942,0.004226360915835722,0.06501046774047793,0.5827150899913842,0.041254216285371986,0.004938156992839679,0.07027202140852132,0.8946274477898868
6,0.045658217313093837,0.005796459095376156,0.07613448033168779,0.906351635055665,0.0409943309842823,0.0046666729686958485,0.06831305123251229,0.5392413831754306,0.041897015323962845,0.005007089108904522,0.07076078793303903,0.8931553983462982
7,0.048962214815410784,0.006724847380227848,0.08200516678983007,0.8913524703105553,0.039701971426247505,0.004808743809051306,0.06934510659773555,0.5252141812839775,0.04477645829418076,0.005873704616919765,0.07664009797044732,0.8746614392961833
8,0.0513767408174377,0.007384579376122369,0.08593357537145983,0.8806937523414646,0.059064632207931074,0.008617589658241723,0.09283097359309404,0.14915214373746788,0.049846546556355315,0.006880235117073962,0.08294718269521854,0.8531813371908763
9,0.05348322476401236,0.007988412809577093,0.08937792126457794,0.8709381389900538,0.04451597828238536,0.005842857508141773,0.07643858651323802,0.4231121482449193,0.04868346060232939,0.006983641015204511,0.08356818183498138,0.8509730704266298
10,0.05547103898323701,0.008799243898657026,0.09380428507620014,0.8578382439525917,0.04011655519272694,0.005455324603331125,0.07386016926145732,0.46137476625829643,0.05073496543808611,0.007898360347542191,0.08887271992879588,0.8314520498637632
11,0.05660429969726528,0.009092699275544795,0.09535564626987117,0.8530971363486558,0.044811704085098304,0.005669464283196484,0.07529584505931575,0.4402321026521624,0.05146709354508456,0.007936043308942516,0.08908447288356437,0.8306470846478397
12,0.05720903921120905,0.00927326647413574,0.09629780098286637,0.850179848602508,0.04681057532393617,0.006174275432479163,0.07857655777952584,0.3903907289703532,0.05251127852408117,0.008210422784259852,0.09061138330397485,0.824791777098924
13,0.05891957079239646,0.009905076448014753,0.09952425055238925,0.8399721251455649,0.04571176523592535,0.0057330543339773185,0.0757169355823208,0.43395758727181954,0.05368017110636153,0.008723868526146624,0.09340165162429744,0.8138357599985685
14,0.0599026959777367,0.010146933169959403,0.10073198682622815,0.8360643034002675,0.04152868207721214,0.005258054394707273,0.07251244303364267,0.48086330414572087,0.054776938515489856,0.009138129198493581,0.09559356253688624,0.8049971985828336
15,0.060887882161500206,0.01053434964143083,0.10263697989238982,0.829804451004051,0.04951787006464731,0.006405292027306862,0.08003306833620003,0.36760523389083055,0.056948739677917484,0.00963252858530986,0.09814544607525028,0.7944496880783343
